INFO:root: ** Hello PyWin32 World ** 
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
DEBUG:root:[Errno 9] Bad file descriptor
